ID	Project	Region_People	Time	Group
AF019	ProjectA	Beijing	2023_04	ProjectA
AF020	ProjectA	Beijing	2023_04	ProjectA
AF021	ProjectA	Beijing	2023_04	ProjectA
AF022	ProjectA	Beijing	2023_04	ProjectA
AF023	ProjectA	Beijing	2023_04	ProjectA
AF024	ProjectA	Beijing	2023_04	ProjectA
AF025	ProjectA	Beijing	2023_04	ProjectA
AF026	ProjectA	Beijing	2023_04	ProjectA
AF027	ProjectA	Beijing	2023_04	ProjectA
AF028	ProjectA	Beijing	2023_04	ProjectA
AF029	ProjectA	Beijing	2023_04	ProjectA
AF030	ProjectA	Beijing	2023_04	ProjectA
AF032	ProjectA	Beijing	2023_04	ProjectA
AF033	ProjectA	Beijing	2023_04	ProjectA
AF035	ProjectA	Beijing	2023_04	ProjectA
AF036	ProjectA	Beijing	2023_04	ProjectA
AF038	ProjectA	Beijing	2023_04	ProjectA
AF039	ProjectA	Beijing	2023_04	ProjectA
AF040	ProjectA	Beijing	2023_04	ProjectA
AF041	ProjectA	Beijing	2023_04	ProjectA
AF042	ProjectA	Beijing	2023_04	ProjectA
AF043	ProjectA	Beijing	2023_04	ProjectA
AF044	ProjectA	Beijing	2023_04	ProjectA
AF045	ProjectA	Beijing	2023_04	ProjectA
AF046	ProjectA	Beijing	2023_04	ProjectA
AF047	ProjectA	Beijing	2023_04	ProjectA
AF048	ProjectA	Beijing	2023_04	ProjectA
AF049	ProjectA	Beijing	2023_04	ProjectA
AF050	ProjectA	Beijing	2023_04	ProjectA
AF051	ProjectA	Beijing	2023_04	ProjectA
AF052	ProjectA	Beijing	2023_04	ProjectA
AF053	ProjectA	Beijing	2023_04	ProjectA
AF054	ProjectA	Beijing	2023_04	ProjectA
AF055	ProjectA	Beijing	2023_04	ProjectA
AF056	ProjectA	Beijing	2023_04	ProjectA
AF057	ProjectA	Beijing	2023_04	ProjectA
AF059	ProjectA	Beijing	2023_04	ProjectA
AF060	ProjectA	Beijing	2023_04	ProjectA
AF061	ProjectA	Beijing	2023_04	ProjectA
AF063	ProjectA	Beijing	2023_04	ProjectA
AF064	ProjectA	Beijing	2023_04	ProjectA
AF065	ProjectA	Beijing	2023_04	ProjectA
AF066	ProjectA	Beijing	2023_04	ProjectA
AF067	ProjectA	Beijing	2023_04	ProjectA
AF068	ProjectA	Beijing	2023_04	ProjectA
AF069	ProjectA	Beijing	2023_04	ProjectA
AF070	ProjectA	Beijing	2023_04	ProjectA
AF071	ProjectA	Beijing	2023_04	ProjectA
AF072	ProjectA	Beijing	2023_04	ProjectA
AF074	ProjectA	Beijing	2023_04	ProjectA
AF075	ProjectA	Beijing	2023_04	ProjectA
AF076	ProjectA	Beijing	2023_04	ProjectA
S17ZYC2	CMP_multitime	P5	2017_03	
S17ZYC3	CMP_multitime	P1	2017_03	
S17ZYC4	CMP_multitime	P6	2017_03	
S17ZYE1	CMP_multitime	P6	2017_05	
S17ZYE2	CMP_multitime	P5	2017_05	
S17ZYE3	CMP_multitime	P3	2017_05	
S17ZYE4	CMP_multitime	P4	2017_05	
S17ZYE5	CMP_multitime	P1	2017_05	
S17ZYE6	CMP_multitime	P7	2017_05	
S17ZYF1	CMP_multitime	P6	2017_06	
S17ZYF2	CMP_multitime	P4	2017_06	
S17ZYF3	CMP_multitime	P5	2017_06	
S17ZYF4	CMP_multitime	P3	2017_06	
S17ZYF5	CMP_multitime	P1	2017_06	
S17ZYF6	CMP_multitime	P7	2017_06	
S17ZYG1	CMP_multitime	P7	2017_07	
S17ZYG2	CMP_multitime	P1	2017_07	
S17ZYG3	CMP_multitime	P4	2017_07	
S17ZYG4	CMP_multitime	P5	2017_07	
S17ZYG6	CMP_multitime	P6	2017_07	
S17ZYH01	CMP_multitime	P5	2017_08	
S17ZYH02	CMP_multitime	P7	2017_08	
S17ZYH03	CMP_multitime	P6	2017_08	
S17ZYH04	CMP_multitime	P1	2017_08	
S17ZYH06	CMP_multitime	P4	2017_08	
S17ZYH07	CMP_multitime	P3	2017_08	
S17ZYI2	CMP_multitime	P6	2017_09	
S17ZYI3	CMP_multitime	P5	2017_09	
S17ZYI4	CMP_multitime	P1	2017_09	
S17ZYI5	CMP_multitime	P7	2017_09	
S17ZYI6	CMP_multitime	P4	2017_09	
S17ZYJ2	CMP_multitime	P6	2017_10	
S17ZYJ3	CMP_multitime	P3	2017_10	
S17ZYJ5	CMP_multitime	P1	2017_10	
S17ZYJ6	CMP_multitime	P2	2017_10	
S17ZYK1	CMP_multitime	P1	2017_11	
S17ZYK2	CMP_multitime	P6	2017_11	
S17ZYK3	CMP_multitime	P4	2017_11	
S17ZYK4	CMP_multitime	P3	2017_11	
S17ZYK5	CMP_multitime	P5	2017_11	
S17ZYK6	CMP_multitime	P2	2017_11	
S17ZYL1	CMP_multitime	P5	2017_12	
S17ZYL2	CMP_multitime	P6	2017_12	
S17ZYL3	CMP_multitime	P4	2017_12	
S17ZYL5	CMP_multitime	P3	2017_12	
S18ZYA1	CMP_multitime	P2	2018_01	
S18ZYA2	CMP_multitime	P6	2018_01	
S18ZYA6	CMP_multitime	P1	2018_01	
S18ZYA7	CMP_multitime	P5	2018_01	
S18ZYC02	CMP_multitime	P2	2018_03	
S18ZYC03	CMP_multitime	P5	2018_03	
S18ZYC05	CMP_multitime	P7	2018_03	
S18ZYC06	CMP_multitime	P6	2018_03	
S18ZYD1	CMP_multitime	P3	2018_04	
S18ZYD2	CMP_multitime	P4	2018_04	
S18ZYD4	CMP_multitime	P2	2018_04	
S18ZYD5	CMP_multitime	P1	2018_04	
S18ZYD6	CMP_multitime	P6	2018_04	
S18ZYE1	CMP_multitime	P6	2018_05	
S18ZYE3	CMP_multitime	P2	2018_05	
S18ZYE4	CMP_multitime	P1	2018_05	
S18ZYE6	CMP_multitime	P4	2018_05	
S18ZYE7	CMP_multitime	P3	2018_05	
S18ZYF1	CMP_multitime	P1	2018_06	
S18ZYF3	CMP_multitime	P3	2018_06	
S18ZYF4	CMP_multitime	P4	2018_06	
S18ZYF5	CMP_multitime	P5	2018_06	
S18ZYF6	CMP_multitime	P6	2018_06	
S18ZYG1	CMP_multitime	P1	2018_07	
S18ZYG2	CMP_multitime	P2	2018_07	
S18ZYG6	CMP_multitime	P6	2018_07	
S18ZYG7	CMP_multitime	P7	2018_07	
S18ZYH1	CMP_multitime	P1	2018_08	
S18ZYH2	CMP_multitime	P2	2018_08	
S18ZYH3	CMP_multitime	P3	2018_08	
S18ZYH4	CMP_multitime	P4	2018_08	
S18ZYH5	CMP_multitime	P5	2018_08	
S18ZYH6	CMP_multitime	P6	2018_08	
S18ZYH7	CMP_multitime	P7	2018_08	
S18ZYI1	CMP_multitime	P1	2018_09	
S18ZYI5	CMP_multitime	P5	2018_09	
S18ZYI6	CMP_multitime	P6	2018_09	
S18ZYI7	CMP_multitime	P7	2018_09	
S18ZYJ1	CMP_multitime	P1	2018_10	
S18ZYJ2	CMP_multitime	P2	2018_10	
S18ZYJ3	CMP_multitime	P3	2018_10	
S18ZYJ5	CMP_multitime	P5	2018_10	
S18ZYJ6	CMP_multitime	P6	2018_10	
S18ZYJ7	CMP_multitime	P7	2018_10	
S18ZYK1	CMP_multitime	P1	2018_11	
S18ZYK2	CMP_multitime	P2	2018_11	
S18ZYK3	CMP_multitime	P3	2018_11	
S18ZYK5	CMP_multitime	P5	2018_11	
S18ZYK6	CMP_multitime	P6	2018_11	
S19ZYA1	CMP_multitime	P1	2019_01	
S19ZYA2	CMP_multitime	P2	2019_01	
